Title,Summary,Director,Writer,Main Genres,Motion Picture Rating,Release Year,Runtime (Minutes),Rating (Out of 10),Number of Ratings (in thousands),Budget (in millions),Gross in US & Canada (in millions),Gross worldwide (in millions),Opening Weekend in US & Canada,Gross Opening Weekend (in millions),box_office
A Nightmare on Elm Street,"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in real life.",Wes Craven,Wes Craven,Horror,R,1984.0,91.0,7.4,258.0,1.8,25.624,25.685,11.11.1984,1.271,23.824
Serendipity,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",Peter Chelsom,Marc Klein,"Comedy,Romance",PG-13,2001.0,90.0,6.8,119.0,28.0,50.294,77.516,10.07.2001,13.309,22.294
A Fish Called Wanda,"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool a very proper barrister.","John Cleese(uncredited),John Cleese,Charles Crichton","Charles Crichton,John Cleese","Comedy,Crime",R,1988.0,108.0,7.5,151.0,7.5,62.494,62.494,07.17.1988,0.115,54.994
Long Shot,"Journalist, Fred Flarsky, reunites with his childhood crush, Charlotte Field; now one of the most influential women in the world. As she prepares to run for president, Charlotte hires Fred as her speechwriter, and sparks fly.",Jonathan Levine,"Dan Sterling,Liz Hannah","Comedy,Romance",R,2019.0,125.0,6.8,119.0,40.0,30.316,53.874,05.05.2019,9.74,-9.684
Grave of the Fireflies,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,"Isao Takahata,Akiyuki Nosaka","Animation,Drama,War",R,1988.0,89.0,8.5,300.0,3.7,0.517,0.517,08.12.2018,0.158,-3.1830000000000003
Capernaum,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,"Nadine Labaki,Michelle Keserwany,Jihad Hojeily",Drama,R,2018.0,126.0,8.4,101.0,4.0,1.661,64.417,12.16.2018,0.025,-2.339
How to Lose a Guy in 10 Days,"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days.",Donald Petrie,"Jeannie Long,Kristen Buckley,Michele Alexander","Comedy,Romance",PG-13,2003.0,116.0,6.5,261.0,50.0,105.813,177.502,02.09.2003,23.775,55.813
Brothers,"While on tour in Afghanistan, Sam's copter is shot down and he is presumed dead. Back home, it is his screw-up brother who looks after the family. Sam does return, but with a lot of excess baggage.",Jim Sheridan,"Susanne Bier,David Benioff,Anders Thomas Jensen","Drama,Thriller,War",R,2009.0,105.0,7.1,142.0,26.0,28.544,43.475,12.06.2009,9.528,2.5440000000000005
The French Dispatch,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",Wes Anderson,"Roman Coppola,Hugo Guinness,Wes Anderson","Comedy,Drama,Romance",R,2021.0,107.0,7.1,145.0,25.0,16.124,46.334,10.24.2021,1.349,-8.876000000000001
A Simple Favor,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",Paul Feig,"Darcey Bell,Jessica Sharzer","Comedy,Crime,Mystery",R,2018.0,117.0,6.8,159.0,20.0,53.549,97.645,09.16.2018,16.012,33.549
Sea of Love,A detective investigating a series of murders becomes involved with a woman who may be the culprit.,Harold Becker,Richard Price,"Crime,Drama,Mystery",R,1989.0,113.0,6.8,43.0,19.0,58.572,110.88,09.17.1989,10.018,39.572
Downfall,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,"Joachim Fest,Bernd Eichinger,Traudl Junge","Biography,Drama,History",R,2004.0,156.0,8.2,369.0,13.5,5.509,92.182,02.20.2005,0.018,-7.991
She's All That,A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.,Robert Iscove,R. Lee Fleming Jr.,"Comedy,Romance",PG-13,1999.0,95.0,5.9,101.0,10.0,63.367,103.167,01.31.1999,16.065,53.367
The Punisher,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,Jonathan Hensleigh,"Michael France,Jonathan Hensleigh","Action,Crime,Drama",R,2004.0,124.0,6.4,168.0,33.0,33.81,54.7,04.18.2004,14.0,0.8100000000000023
Crash,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",David Cronenberg,"J.G. Ballard,David Cronenberg",Drama,R,1996.0,100.0,6.4,65.0,9.0,2.665,2.672,10.06.1996,0.738,-6.335
The Drop,"Bob Saginowski finds himself at the center of a robbery gone awry and entwined in an investigation that digs deeply into the neighborhood's past where friends, families, and foes all work together to make a living--no matter the cost.",Michaël R. Roskam,,"Crime,Drama,Thriller",R,2014.0,106.0,7.0,160.0,12.6,10.724,18.658,09.14.2014,4.105,-1.8759999999999997
Zero Dark Thirty,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",Kathryn Bigelow,Mark Boal,"Drama,History,Thriller",R,2012.0,157.0,7.4,314.0,40.0,95.721,132.821,12.23.2012,0.417,55.721
Eight Crazy Nights,"Davey Stone, an alcoholic with a criminal record, is sentenced to community service under the supervision of an elderly referee. Davey is then faced with trying to reform and abandon his bad habits.",Seth Kearsley,"Brooks Arthur,Brad Isaacs,Allen Covert","Animation,Comedy,Musical",PG-13,2002.0,76.0,5.3,25.0,34.0,23.587,23.833,12.01.2002,9.434,-10.413
Point Break,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,Kathryn Bigelow,"Rick King,W. Peter Iliff","Action,Crime,Thriller",R,1991.0,122.0,7.3,197.0,24.0,43.218,83.532,07.14.1991,8.515,19.218000000000004
Sideways,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",Alexander Payne,"Rex Pickett,Jim Taylor,Alexander Payne","Comedy,Drama,Romance",R,2004.0,127.0,7.5,199.0,16.0,71.504,109.707,10.24.2004,0.207,55.504000000000005
The Next Three Days,A married couple's life is turned upside down when the wife is accused of a murder.,Paul Haggis,"Guillaume Lemans,Paul Haggis,Fred Cavayé","Action,Crime,Drama",PG-13,2010.0,133.0,7.3,204.0,30.0,21.149,67.449,11.21.2010,6.543,-8.850999999999999
Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,Oliver Stone,"Quentin Tarantino,David Veloz,Richard Rutowski","Action,Crime,Romance",R,1994.0,119.0,7.2,247.0,34.0,50.283,50.284,08.28.1994,11.167,16.283
Labyrinth,Sixteen-year-old Sarah must solve a labyrinth to rescue her baby brother when he is taken by the Goblin King.,Jim Henson,"Terry Jones,Dennis Lee,Jim Henson","Adventure,Family,Fantasy",PG,1986.0,101.0,7.3,146.0,25.0,13.723,14.246,06.29.1986,3.549,-11.277
Belfast,A young boy and his working-class Belfast family experience the tumultuous late 1960s.,Kenneth Branagh,Kenneth Branagh,"Biography,Drama,Romance",PG-13,2021.0,98.0,7.2,86.0,11.0,9.251,49.158,11.14.2021,1.779,-1.7490000000000006
School of Rock,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band.",Richard Linklater,Mike White,"Comedy,Music",PG-13,2003.0,109.0,7.2,323.0,35.0,81.261,131.096,10.05.2003,19.623,46.261
Scary Movie 2,Four teens are tricked by Professor Oldman (Tim Curry) into visiting a haunted house for a school project.,Keenen Ivory Wayans,"Marlon Wayans,Buddy Johnson,Shawn Wayans","Comedy,Horror",R,2001.0,83.0,5.3,172.0,45.0,71.309,141.221,07.08.2001,20.503,26.309
The Great Outdoors,A Chicago man and his family go camping with his obnoxious brother-in-law.,Howard Deutch,John Hughes,Comedy,PG,1988.0,91.0,6.6,51.0,24.0,41.455,43.455,06.19.1988,6.121,17.455
Wrong Turn,"Chris and a group of five friends are left stranded deep in the middle of the woods after their cars collide. As they venture deeper into the woods, they face an uncertain and bloodcurdling fate.",Rob Schmidt,Alan B. McElroy,"Horror,Thriller",R,2003.0,84.0,6.1,129.0,12.6,15.419,28.651,06.01.2003,5.161,2.819000000000001
Real Genius,"An uptight teenage prodigy enters a top engineering college, but feels awkward among the freewheeling students. When a professor aims to turn their laser project into a military weapon, he and his offbeat roommate plot to ruin the plan.",Martha Coolidge,"Neal Israel,PJ Torokvei,Pat Proft","Comedy,Romance,Sci-Fi",PG,1985.0,108.0,6.9,37.0,8.0,12.952,12.952,08.11.1985,2.557,4.952
The Secret Life of Walter Mitty,"When both he and a colleague are about to lose their job, Walter takes action by embarking on an adventure more extraordinary than anything he ever imagined.",Ben Stiller,"Steve Conrad,James Thurber","Adventure,Comedy,Drama",PG,2013.0,114.0,7.3,333.0,90.0,58.237,188.133,12.29.2013,12.766,-31.763
The Faculty,"When Casey Connor, Herrington High School's newspaper photographer, witnesses the murder of a nurse and sees her alive again, he decides to investigate the bizarre happenings.",Robert Rodriguez,"Bruce Kimmel,David Wechter,Kevin Williamson","Horror,Mystery,Sci-Fi",R,1998.0,104.0,6.6,133.0,15.0,40.283,40.284,12.27.1998,11.633,25.283
Shallow Hal,A shallow man falls in love with a 300-pound woman because of her inner beauty.,"Bobby Farrelly,Peter Farrelly","Peter Farrelly,Bobby Farrelly,Sean Moynihan","Comedy,Drama,Fantasy",PG-13,2001.0,114.0,6.0,142.0,40.0,70.839,141.07,11.11.2001,22.518,30.839
Blue Valentine,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.",Derek Cianfrance,"Cami Delavigne,Joey Curtis,Derek Cianfrance","Drama,Romance",R,2010.0,112.0,7.3,208.0,1.0,9.706,15.44,01.02.2011,0.194,8.706
Pale Rider,A mysterious preacher protects a humble prospector village from a greedy mining company trying to encroach on their land.,Clint Eastwood,"Dennis Shryack,Michael Butler","Drama,Western",R,1985.0,115.0,7.3,63.0,6.9,41.411,41.411,06.30.1985,9.119,34.511
Zoom,Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.,Peter Hewitt,"David Berenbaum,Adam Rifkin,Jason Lethcoe","Action,Adventure,Comedy",PG,2006.0,93.0,4.4,22.0,35.0,11.989,12.506,08.13.2006,4.51,-23.011
Wild Things,A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.,John McNaughton,Stephen Peters,"Crime,Drama,Mystery",R,1998.0,108.0,6.6,128.0,20.0,30.148,30.166,03.22.1998,9.622,10.148
Old School,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,Todd Phillips,"Todd Phillips,Court Crandall,Scot Armstrong",Comedy,R,2003.0,88.0,7.0,240.0,24.0,75.585,87.136,02.23.2003,17.453,51.585
The Miracle Club,There's just one dream for the women of Ballygar to taste freedom: to win a pilgrimage to the sacred French town of Lourdes.,Thaddeus O'Sullivan,"Joshua D. Maurer,Timothy Prager,Jimmy Smallhorne","Comedy,Drama",PG-13,2023.0,90.0,6.3,1.8,8.9,2.403,6.626,07.16.2023,0.665,-6.497
Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,"Jake LaMotta,Peter Savage,Joseph Carter","Biography,Drama,Sport",R,1980.0,129.0,8.1,373.0,18.0,23.384,23.405,11.16.1980,0.129,5.384
Galaxy Quest,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord.",Dean Parisot,"Robert Gordon,David Howard","Adventure,Comedy,Sci-Fi",PG,1999.0,102.0,7.4,173.0,45.0,71.584,90.684,12.26.1999,7.013,26.584000000000003
Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,"Richard Linklater,Kim Krizan","Drama,Romance",R,1995.0,101.0,8.1,331.0,2.5,5.535,5.987,01.29.1995,1.424,3.035
Weird Science,"Two high-school nerds use a computer program to literally create the perfect woman, who promptly turns their lives upside-down.",John Hughes,"Al Feldstein(uncredited),Al Feldstein,William M. Gaines(uncredited),John Hughes,William M. Gaines","Comedy,Romance,Sci-Fi",PG-13,1985.0,94.0,6.6,96.0,7.5,23.834,38.934,08.04.1985,4.895,16.334
The Green Inferno,"A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished.",Eli Roth,"Eli Roth,Guillermo Amoedo","Adventure,Horror",R,2013.0,100.0,5.3,48.0,5.0,7.192,12.666,09.27.2015,3.521,2.192
Burnt,"Adam Jones is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",John Wells,"Michael Kalesniko,Steven Knight","Comedy,Drama",R,2015.0,101.0,6.6,130.0,20.0,13.652,36.607,11.01.2015,5.003,-6.348000000000001
Thirteen,"A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend.",Catherine Hardwicke,"Catherine Hardwicke,Nikki Reed",Drama,R,2003.0,100.0,6.8,96.0,2.0,4.601,10.129,08.24.2003,0.116,2.601
Movie 43,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,"Steve Carr(segment The Proposition),Elizabeth Banks(segment Middleschool Date),Steven Brill,Steve Carr,Steven Brill(segments The Thread, iBabe),Elizabeth Banks","Rocky Russo(segment The Pitch),Jeremy Sosenko(segment The Pitch),Jeremy Sosenko,Ricky Blitt,Rocky Russo,Ricky Blitt(segment The Pitch)",Comedy,R,2013.0,94.0,4.3,111.0,6.0,8.84,32.443,01.27.2013,4.806,2.84
Friends with Benefits,"A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.",Will Gluck,"Keith Merryman,Will Gluck,David A. Newman","Comedy,Romance",R,2011.0,109.0,6.5,388.0,35.0,55.803,149.542,07.24.2011,18.622,20.803
The Gift,A fortune teller with extrasensory perception is asked to help find a young woman who has mysteriously disappeared.,Sam Raimi,"Tom Epperson,Billy Bob Thornton","Drama,Fantasy,Horror",R,2000.0,112.0,6.7,74.0,10.0,12.009,44.568,12.25.2000,0.012,2.0090000000000003
Green Room,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,Jeremy Saulnier,Jeremy Saulnier,"Crime,Drama,Horror",R,2015.0,95.0,7.0,136.0,5.0,3.22,3.767,04.17.2016,0.088,-1.7799999999999998
Sicario: Day of the Soldado,"The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",Stefano Sollima,Taylor Sheridan,"Action,Crime,Drama",R,2018.0,122.0,7.1,162.0,35.0,50.072,75.838,07.01.2018,19.008,15.072000000000005
